suite,scenario,controller,runs,success_count,success_rate,handoff_rate,settling_time_median,overshoot_deg_median,steady_state_error_deg_median,control_effort_median,first_balance_time_median,min_abs_theta_deg_median,balance_fraction_median,invalid_rate,track_violation_rate
nominal,full_task_hanging,Feedback Linearization (PFL),5,5,1.0,1.0,2.2600000000000007,10.010752858962592,0.0006734289606636687,128.86844905313325,2.0599999999999996,1.6974674277178187e-06,0.8627581612258495,0.0,0.0
nominal,full_task_hanging,LQR,5,5,1.0,1.0,1.6800000000000002,10.016378106512697,3.215599305165754e-08,128.98642451937081,2.0599999999999996,1.1376207984658707e-10,0.8627581612258495,0.0,0.0
nominal,full_task_hanging,Sliding Mode Control (SMC),5,0,0.0,1.0,,9.989013350900679,0.001046765723419445,129.07514751036643,2.0599999999999996,8.91768422709726e-06,0.8627581612258495,0.0,0.0
nominal,local_small_angle,Feedback Linearization (PFL),5,5,1.0,1.0,4.999999999999999,10.020379081893543,0.06943256186097385,7.3828989480109,0.15000000000000002,0.0002444623060377244,0.9812734082397003,0.0,0.0
nominal,local_small_angle,LQR,5,5,1.0,1.0,2.52,9.921962348023918,0.0006842289139468749,11.52819299992462,0.15000000000000002,2.1855975080236236e-05,0.9812734082397003,0.0,0.0
nominal,local_small_angle,Sliding Mode Control (SMC),5,0,0.0,1.0,,9.921962348023918,0.014645749338787968,8.22289507513048,0.15000000000000002,0.00019158914349908199,0.9812734082397003,0.0,0.0
stress,friction_and_damping,Feedback Linearization (PFL),5,5,1.0,1.0,5.119999999999999,9.957515453123486,0.04201573348739836,7.4438275677751236,0.15000000000000002,8.32419424002464e-05,0.985014985014985,0.0,0.0
stress,friction_and_damping,LQR,5,5,1.0,1.0,2.4899999999999998,9.866517498009742,9.298117230840783e-06,11.415798492466958,0.15000000000000002,2.2546840181370084e-07,0.985014985014985,0.0,0.0
stress,friction_and_damping,Sliding Mode Control (SMC),5,0,0.0,1.0,,9.866517498009742,0.01179432482810258,8.097987383617575,0.15000000000000002,0.00030325262354730304,0.985014985014985,0.0,0.0
stress,impulse_disturbance,Feedback Linearization (PFL),5,5,1.0,1.0,3.33,10.020379081893543,0.003249154052888467,8.730655664195105,0.15000000000000002,1.1615116520000962e-05,0.985014985014985,0.0,0.0
stress,impulse_disturbance,LQR,5,5,1.0,1.0,3.0,9.921962348023918,0.000285476246536403,12.76428369041566,0.15000000000000002,6.856103820668567e-06,0.985014985014985,0.0,0.0
stress,impulse_disturbance,Sliding Mode Control (SMC),5,0,0.0,1.0,,9.921962348023918,0.013763110601109917,9.247957835051615,0.15000000000000002,1.8137210243352332e-05,0.985014985014985,0.0,0.0
stress,large_angle_recovery,Feedback Linearization (PFL),5,5,1.0,1.0,5.04,14.932580950600327,0.04984426749769193,28.687652186775804,0.53,0.00023840975419244287,0.9470529470529471,0.0,0.0
stress,large_angle_recovery,LQR,5,5,1.0,1.0,2.9799999999999995,16.58867410668159,3.26161707548831e-05,34.473752537114336,0.53,1.5012103596539267e-07,0.9470529470529471,0.0,0.0
stress,large_angle_recovery,Sliding Mode Control (SMC),5,0,0.0,1.0,,8.568513885719264,0.022115175673280404,21.92329406516749,0.53,0.0012008786430006667,0.9470529470529471,0.0,0.0
stress,measurement_noise,Feedback Linearization (PFL),5,5,1.0,1.0,5.249999999999999,10.011558784192108,0.11919353458938729,13.215263610388874,0.15000000000000002,0.0008553254107391321,0.985014985014985,0.0,0.0
stress,measurement_noise,LQR,5,5,1.0,1.0,2.55,9.913295474947137,0.11653384640346964,22.12814317382741,0.15000000000000002,0.001131839520836592,0.985014985014985,0.0,0.0
stress,measurement_noise,Sliding Mode Control (SMC),5,0,0.0,1.0,,9.910358289117672,0.11419425149456215,18.49282445802969,0.15000000000000002,0.00033268662055147425,0.985014985014985,0.0,0.0
stress,parameter_mismatch,Feedback Linearization (PFL),5,5,1.0,1.0,4.77,9.791393861665583,0.019219358301443386,8.791016485059378,0.15000000000000002,8.886972640970868e-05,0.985014985014985,0.0,0.0
stress,parameter_mismatch,LQR,5,5,1.0,1.0,2.4699999999999998,9.691588910016263,1.1765694384378583e-05,14.289852678035558,0.15000000000000002,2.0371422201448882e-07,0.985014985014985,0.0,0.0
stress,parameter_mismatch,Sliding Mode Control (SMC),5,0,0.0,1.0,,9.691231438542808,0.009164784782496627,9.456799757494668,0.15000000000000002,0.0001674280133234683,0.985014985014985,0.0,0.0
